Season,TeamID,ConfAbbrev,tourney_game_wins,tourney_game_losses
2016,1114,sun_belt,1,2
2017,1114,sun_belt,1,2
2018,1114,sun_belt,1,2
2019,1114,sun_belt,1,2
2020,1114,sun_belt,1,2
1985,1116,swc,3,6
1986,1116,swc,3,6
1987,1116,swc,3,6
1988,1116,swc,3,6
1989,1116,swc,3,6
1990,1116,swc,3,6
1991,1116,swc,3,6
1992,1116,sec,3,6
1993,1116,sec,3,6
1994,1116,sec,3,6
1995,1116,sec,3,6
1996,1116,sec,3,6
1997,1116,sec,3,6
1998,1116,sec,3,6
1999,1116,sec,3,6
2000,1116,sec,3,6
2001,1116,sec,3,6
2002,1116,sec,3,6
2003,1116,sec,3,6
2004,1116,sec,3,6
2005,1116,sec,3,6
2006,1116,sec,3,6
2007,1116,sec,3,6
2008,1116,sec,3,6
2009,1116,sec,3,6
2010,1116,sec,3,6
2011,1116,sec,3,6
2012,1116,sec,3,6
2013,1116,sec,3,6
2014,1116,sec,3,6
2015,1116,sec,3,6
2016,1116,sec,3,6
2017,1116,sec,3,6
2018,1116,sec,3,6
2019,1116,sec,3,6
2020,1116,sec,3,6
1985,1120,sec,7,3
1986,1120,sec,7,3
1987,1120,sec,7,3
1988,1120,sec,7,3
1989,1120,sec,7,3
1990,1120,sec,7,3
1991,1120,sec,7,3
1992,1120,sec,7,3
1993,1120,sec,7,3
1994,1120,sec,7,3
1995,1120,sec,7,3
1996,1120,sec,7,3
1997,1120,sec,7,3
1998,1120,sec,7,3
1999,1120,sec,7,3
2000,1120,sec,7,3
2001,1120,sec,7,3
2002,1120,sec,7,3
2003,1120,sec,7,3
2004,1120,sec,7,3
2005,1120,sec,7,3
2006,1120,sec,7,3
2007,1120,sec,7,3
2008,1120,sec,7,3
2009,1120,sec,7,3
2010,1120,sec,7,3
2011,1120,sec,7,3
2012,1120,sec,7,3
2013,1120,sec,7,3
2014,1120,sec,7,3
2015,1120,sec,7,3
2016,1120,sec,7,3
2017,1120,sec,7,3
2018,1120,sec,7,3
2019,1120,sec,7,3
2020,1120,sec,7,3
1985,1124,swc,11,8
1986,1124,swc,11,8
1987,1124,swc,11,8
1988,1124,swc,11,8
1989,1124,swc,11,8
1990,1124,swc,11,8
1991,1124,swc,11,8
1992,1124,swc,11,8
1993,1124,swc,11,8
1994,1124,swc,11,8
1995,1124,swc,11,8
1996,1124,swc,11,8
1997,1124,big_twelve,11,8
1998,1124,big_twelve,11,8
1999,1124,big_twelve,11,8
2000,1124,big_twelve,11,8
2001,1124,big_twelve,11,8
2002,1124,big_twelve,11,8
2003,1124,big_twelve,11,8
2004,1124,big_twelve,11,8
2005,1124,big_twelve,11,8
2006,1124,big_twelve,11,8
2007,1124,big_twelve,11,8
2008,1124,big_twelve,11,8
2009,1124,big_twelve,11,8
2010,1124,big_twelve,11,8
2011,1124,big_twelve,11,8
2012,1124,big_twelve,11,8
2013,1124,big_twelve,11,8
2014,1124,big_twelve,11,8
2015,1124,big_twelve,11,8
2016,1124,big_twelve,11,8
2017,1124,big_twelve,11,8
2018,1124,big_twelve,11,8
2019,1124,big_twelve,11,8
2020,1124,big_twelve,11,8
1985,1130,big_east,5,5
1986,1130,big_east,5,5
1987,1130,big_east,5,5
1988,1130,big_east,5,5
1989,1130,big_east,5,5
1990,1130,big_east,5,5
1991,1130,big_east,5,5
1992,1130,big_east,5,5
1993,1130,big_east,5,5
1994,1130,big_east,5,5
1995,1130,big_east,5,5
1996,1130,big_east,5,5
1997,1130,big_east,5,5
1998,1130,big_east,5,5
1999,1130,big_east,5,5
2000,1130,big_east,5,5
2001,1130,big_east,5,5
2002,1130,big_east,5,5
2003,1130,big_east,5,5
2004,1130,big_east,5,5
2005,1130,big_east,5,5
2006,1130,acc,5,5
2007,1130,acc,5,5
2008,1130,acc,5,5
2009,1130,acc,5,5
2010,1130,acc,5,5
2011,1130,acc,5,5
2012,1130,acc,5,5
2013,1130,acc,5,5
2014,1130,acc,5,5
2015,1130,acc,5,5
2016,1130,acc,5,5
2017,1130,acc,5,5
2018,1130,acc,5,5
2019,1130,acc,5,5
2020,1130,acc,5,5
1985,1133,mvc,2,2
1986,1133,mvc,2,2
1987,1133,mvc,2,2
1988,1133,mvc,2,2
1989,1133,mvc,2,2
1990,1133,mvc,2,2
1991,1133,mvc,2,2
1992,1133,mvc,2,2
1993,1133,mvc,2,2
1994,1133,mvc,2,2
1995,1133,mvc,2,2
1996,1133,mvc,2,2
1997,1133,mvc,2,2
1998,1133,mvc,2,2
1999,1133,mvc,2,2
2000,1133,mvc,2,2
2001,1133,mvc,2,2
2002,1133,mvc,2,2
2003,1133,mvc,2,2
2004,1133,mvc,2,2
2005,1133,mvc,2,2
2006,1133,mvc,2,2
2007,1133,mvc,2,2
2008,1133,mvc,2,2
2009,1133,mvc,2,2
2010,1133,mvc,2,2
2011,1133,mvc,2,2
2012,1133,mvc,2,2
2013,1133,mvc,2,2
2014,1133,mvc,2,2
2015,1133,mvc,2,2
2016,1133,mvc,2,2
2017,1133,mvc,2,2
2018,1133,mvc,2,2
2019,1133,mvc,2,2
2020,1133,mvc,2,2
1985,1137,ecc,2,6
1986,1137,ecc,2,6
1987,1137,ecc,2,6
1988,1137,ecc,2,6
1989,1137,ecc,2,6
1990,1137,ecc,2,6
1991,1137,patriot,2,6
1992,1137,patriot,2,6
1993,1137,patriot,2,6
1994,1137,patriot,2,6
1995,1137,patriot,2,6
1996,1137,patriot,2,6
1997,1137,patriot,2,6
1998,1137,patriot,2,6
1999,1137,patriot,2,6
2000,1137,patriot,2,6
2001,1137,patriot,2,6
2002,1137,patriot,2,6
2003,1137,patriot,2,6
2004,1137,patriot,2,6
2005,1137,patriot,2,6
2006,1137,patriot,2,6
2007,1137,patriot,2,6
2008,1137,patriot,2,6
2009,1137,patriot,2,6
2010,1137,patriot,2,6
2011,1137,patriot,2,6
2012,1137,patriot,2,6
2013,1137,patriot,2,6
2014,1137,patriot,2,6
2015,1137,patriot,2,6
2016,1137,patriot,2,6
2017,1137,patriot,2,6
2018,1137,patriot,2,6
2019,1137,patriot,2,6
2020,1137,patriot,2,6
1985,1139,mw_city,21,11
1986,1139,mw_coll,21,11
1987,1139,mw_coll,21,11
1988,1139,mw_coll,21,11
1989,1139,mw_coll,21,11
1990,1139,mw_coll,21,11
1991,1139,mw_coll,21,11
1992,1139,mw_coll,21,11
1993,1139,mw_coll,21,11
1994,1139,mw_coll,21,11
1995,1139,mw_coll,21,11
1996,1139,mw_coll,21,11
1997,1139,mw_coll,21,11
1998,1139,mw_coll,21,11
1999,1139,mw_coll,21,11
2000,1139,mw_coll,21,11
2001,1139,mw_coll,21,11
2002,1139,horizon,21,11
2003,1139,horizon,21,11
2004,1139,horizon,21,11
2005,1139,horizon,21,11
2006,1139,horizon,21,11
2007,1139,horizon,21,11
2008,1139,horizon,21,11
2009,1139,horizon,21,11
2010,1139,horizon,21,11
2011,1139,horizon,21,11
2012,1139,horizon,21,11
2013,1139,a_ten,21,11
2014,1139,big_east,21,11
2015,1139,big_east,21,11
2016,1139,big_east,21,11
2017,1139,big_east,21,11
2018,1139,big_east,21,11
2019,1139,big_east,21,11
2020,1139,big_east,21,11
1985,1140,wac,4,10
1986,1140,wac,4,10
1987,1140,wac,4,10
1988,1140,wac,4,10
1989,1140,wac,4,10
1990,1140,wac,4,10
1991,1140,wac,4,10
1992,1140,wac,4,10
1993,1140,wac,4,10
1994,1140,wac,4,10
1995,1140,wac,4,10
1996,1140,wac,4,10
1997,1140,wac,4,10
1998,1140,wac,4,10
1999,1140,wac,4,10
2000,1140,mwc,4,10
2001,1140,mwc,4,10
2002,1140,mwc,4,10
2003,1140,mwc,4,10
2004,1140,mwc,4,10
2005,1140,mwc,4,10
2006,1140,mwc,4,10
2007,1140,mwc,4,10
2008,1140,mwc,4,10
2009,1140,mwc,4,10
2010,1140,mwc,4,10
2011,1140,mwc,4,10
2012,1140,wcc,4,10
2013,1140,wcc,4,10
2014,1140,wcc,4,10
2015,1140,wcc,4,10
2016,1140,wcc,4,10
2017,1140,wcc,4,10
2018,1140,wcc,4,10
2019,1140,wcc,4,10
2020,1140,wcc,4,10
1985,1141,mac,1,1
1986,1141,mac,1,1
1987,1141,mac,1,1
1988,1141,mac,1,1
1989,1141,mac,1,1
1990,1141,mac,1,1
1991,1141,mac,1,1
1992,1141,mac,1,1
1993,1141,mac,1,1
1994,1141,mac,1,1
1995,1141,mac,1,1
1996,1141,mac,1,1
1997,1141,mac,1,1
1998,1141,mac,1,1
1999,1141,mac,1,1
2000,1141,mac,1,1
2001,1141,mac,1,1
2002,1141,mac,1,1
2003,1141,mac,1,1
2004,1141,mac,1,1
2005,1141,mac,1,1
2006,1141,mac,1,1
2007,1141,mac,1,1
2008,1141,mac,1,1
2009,1141,mac,1,1
2010,1141,mac,1,1
2011,1141,mac,1,1
2012,1141,mac,1,1
2013,1141,mac,1,1
2014,1141,mac,1,1
2015,1141,mac,1,1
2016,1141,mac,1,1
2017,1141,mac,1,1
2018,1141,mac,1,1
2019,1141,mac,1,1
2020,1141,mac,1,1
1985,1143,pac_ten,3,7
1986,1143,pac_ten,3,7
1987,1143,pac_ten,3,7
1988,1143,pac_ten,3,7
1989,1143,pac_ten,3,7
1990,1143,pac_ten,3,7
1991,1143,pac_ten,3,7
1992,1143,pac_ten,3,7
1993,1143,pac_ten,3,7
1994,1143,pac_ten,3,7
1995,1143,pac_ten,3,7
1996,1143,pac_ten,3,7
1997,1143,pac_ten,3,7
1998,1143,pac_ten,3,7
1999,1143,pac_ten,3,7
2000,1143,pac_ten,3,7
2001,1143,pac_ten,3,7
2002,1143,pac_ten,3,7
2003,1143,pac_ten,3,7
2004,1143,pac_ten,3,7
2005,1143,pac_ten,3,7
2006,1143,pac_ten,3,7
2007,1143,pac_ten,3,7
2008,1143,pac_ten,3,7
2009,1143,pac_ten,3,7
2010,1143,pac_ten,3,7
2011,1143,pac_ten,3,7
2012,1143,pac_twelve,3,7
2013,1143,pac_twelve,3,7
2014,1143,pac_twelve,3,7
2015,1143,pac_twelve,3,7
2016,1143,pac_twelve,3,7
2017,1143,pac_twelve,3,7
2018,1143,pac_twelve,3,7
2019,1143,pac_twelve,3,7
2020,1143,pac_twelve,3,7
1985,1153,metro,8,12
1986,1153,metro,8,12
1987,1153,metro,8,12
1988,1153,metro,8,12
1989,1153,metro,8,12
1990,1153,metro,8,12
1991,1153,metro,8,12
1992,1153,gmwc,8,12
1993,1153,gmwc,8,12
1994,1153,gmwc,8,12
1995,1153,gmwc,8,12
1996,1153,cusa,8,12
1997,1153,cusa,8,12
1998,1153,cusa,8,12
1999,1153,cusa,8,12
2000,1153,cusa,8,12
2001,1153,cusa,8,12
2002,1153,cusa,8,12
2003,1153,cusa,8,12
2004,1153,cusa,8,12
2005,1153,cusa,8,12
2006,1153,big_east,8,12
2007,1153,big_east,8,12
2008,1153,big_east,8,12
2009,1153,big_east,8,12
2010,1153,big_east,8,12
2011,1153,big_east,8,12
2012,1153,big_east,8,12
2013,1153,big_east,8,12
2014,1153,aac,8,12
2015,1153,aac,8,12
2016,1153,aac,8,12
2017,1153,aac,8,12
2018,1153,aac,8,12
2019,1153,aac,8,12
2020,1153,aac,8,12
1985,1155,acc,3,5
1986,1155,acc,3,5
1987,1155,acc,3,5
1988,1155,acc,3,5
1989,1155,acc,3,5
1990,1155,acc,3,5
1991,1155,acc,3,5
1992,1155,acc,3,5
1993,1155,acc,3,5
1994,1155,acc,3,5
1995,1155,acc,3,5
1996,1155,acc,3,5
1997,1155,acc,3,5
1998,1155,acc,3,5
1999,1155,acc,3,5
2000,1155,acc,3,5
2001,1155,acc,3,5
2002,1155,acc,3,5
2003,1155,acc,3,5
2004,1155,acc,3,5
2005,1155,acc,3,5
2006,1155,acc,3,5
2007,1155,acc,3,5
2008,1155,acc,3,5
2009,1155,acc,3,5
2010,1155,acc,3,5
2011,1155,acc,3,5
2012,1155,acc,3,5
2013,1155,acc,3,5
2014,1155,acc,3,5
2015,1155,acc,3,5
2016,1155,acc,3,5
2017,1155,acc,3,5
2018,1155,acc,3,5
2019,1155,acc,3,5
2020,1155,acc,3,5
1985,1156,mid_cont,1,1
1986,1156,mid_cont,1,1
1987,1156,mid_cont,1,1
1988,1156,mid_cont,1,1
1989,1156,mid_cont,1,1
1990,1156,mid_cont,1,1
1991,1156,mid_cont,1,1
1992,1156,mid_cont,1,1
1993,1156,mid_cont,1,1
1994,1156,mid_cont,1,1
1995,1156,mw_coll,1,1
1996,1156,mw_coll,1,1
1997,1156,mw_coll,1,1
1998,1156,mw_coll,1,1
1999,1156,mw_coll,1,1
2000,1156,mw_coll,1,1
2001,1156,mw_coll,1,1
2002,1156,horizon,1,1
2003,1156,horizon,1,1
2004,1156,horizon,1,1
2005,1156,horizon,1,1
2006,1156,horizon,1,1
2007,1156,horizon,1,1
2008,1156,horizon,1,1
2009,1156,horizon,1,1
2010,1156,horizon,1,1
2011,1156,horizon,1,1
2012,1156,horizon,1,1
2013,1156,horizon,1,1
2014,1156,horizon,1,1
2015,1156,horizon,1,1
2016,1156,horizon,1,1
2017,1156,horizon,1,1
2018,1156,horizon,1,1
2019,1156,horizon,1,1
2020,1156,horizon,1,1
1985,1160,big_eight,1,5
1986,1160,big_eight,1,5
1987,1160,big_eight,1,5
1988,1160,big_eight,1,5
1989,1160,big_eight,1,5
1990,1160,big_eight,1,5
1991,1160,big_eight,1,5
1992,1160,big_eight,1,5
1993,1160,big_eight,1,5
1994,1160,big_eight,1,5
1995,1160,big_eight,1,5
1996,1160,big_eight,1,5
1997,1160,big_twelve,1,5
1998,1160,big_twelve,1,5
1999,1160,big_twelve,1,5
2000,1160,big_twelve,1,5
2001,1160,big_twelve,1,5
2002,1160,big_twelve,1,5
2003,1160,big_twelve,1,5
2004,1160,big_twelve,1,5
2005,1160,big_twelve,1,5
2006,1160,big_twelve,1,5
2007,1160,big_twelve,1,5
2008,1160,big_twelve,1,5
2009,1160,big_twelve,1,5
2010,1160,big_twelve,1,5
2011,1160,big_twelve,1,5
2012,1160,pac_twelve,1,5
2013,1160,pac_twelve,1,5
2014,1160,pac_twelve,1,5
2015,1160,pac_twelve,1,5
2016,1160,pac_twelve,1,5
2017,1160,pac_twelve,1,5
2018,1160,pac_twelve,1,5
2019,1160,pac_twelve,1,5
2020,1160,pac_twelve,1,5
1985,1161,wac,1,3
1986,1161,wac,1,3
1987,1161,wac,1,3
1988,1161,wac,1,3
1989,1161,wac,1,3
1990,1161,wac,1,3
1991,1161,wac,1,3
1992,1161,wac,1,3
1993,1161,wac,1,3
1994,1161,wac,1,3
1995,1161,wac,1,3
1996,1161,wac,1,3
1997,1161,wac,1,3
1998,1161,wac,1,3
1999,1161,wac,1,3
2000,1161,mwc,1,3
2001,1161,mwc,1,3
2002,1161,mwc,1,3
2003,1161,mwc,1,3
2004,1161,mwc,1,3
2005,1161,mwc,1,3
2006,1161,mwc,1,3
2007,1161,mwc,1,3
2008,1161,mwc,1,3
2009,1161,mwc,1,3
2010,1161,mwc,1,3
2011,1161,mwc,1,3
2012,1161,mwc,1,3
2013,1161,mwc,1,3
2014,1161,mwc,1,3
2015,1161,mwc,1,3
2016,1161,mwc,1,3
2017,1161,mwc,1,3
2018,1161,mwc,1,3
2019,1161,mwc,1,3
2020,1161,mwc,1,3
1985,1163,big_east,29,7
1986,1163,big_east,29,7
1987,1163,big_east,29,7
1988,1163,big_east,29,7
1989,1163,big_east,29,7
1990,1163,big_east,29,7
1991,1163,big_east,29,7
1992,1163,big_east,29,7
1993,1163,big_east,29,7
1994,1163,big_east,29,7
1995,1163,big_east,29,7
1996,1163,big_east,29,7
1997,1163,big_east,29,7
1998,1163,big_east,29,7
1999,1163,big_east,29,7
2000,1163,big_east,29,7
2001,1163,big_east,29,7
2002,1163,big_east,29,7
2003,1163,big_east,29,7
2004,1163,big_east,29,7
2005,1163,big_east,29,7
2006,1163,big_east,29,7
2007,1163,big_east,29,7
2008,1163,big_east,29,7
2009,1163,big_east,29,7
2010,1163,big_east,29,7
2011,1163,big_east,29,7
2012,1163,big_east,29,7
2013,1163,big_east,29,7
2014,1163,aac,29,7
2015,1163,aac,29,7
2016,1163,aac,29,7
2017,1163,aac,29,7
2018,1163,aac,29,7
2019,1163,aac,29,7
2020,1163,aac,29,7
1985,1165,ivy,2,3
1986,1165,ivy,2,3
1987,1165,ivy,2,3
1988,1165,ivy,2,3
1989,1165,ivy,2,3
1990,1165,ivy,2,3
1991,1165,ivy,2,3
1992,1165,ivy,2,3
1993,1165,ivy,2,3
1994,1165,ivy,2,3
1995,1165,ivy,2,3
1996,1165,ivy,2,3
1997,1165,ivy,2,3
1998,1165,ivy,2,3
1999,1165,ivy,2,3
2000,1165,ivy,2,3
2001,1165,ivy,2,3
2002,1165,ivy,2,3
2003,1165,ivy,2,3
2004,1165,ivy,2,3
2005,1165,ivy,2,3
2006,1165,ivy,2,3
2007,1165,ivy,2,3
2008,1165,ivy,2,3
2009,1165,ivy,2,3
2010,1165,ivy,2,3
2011,1165,ivy,2,3
2012,1165,ivy,2,3
2013,1165,ivy,2,3
2014,1165,ivy,2,3
2015,1165,ivy,2,3
2016,1165,ivy,2,3
2017,1165,ivy,2,3
2018,1165,ivy,2,3
2019,1165,ivy,2,3
2020,1165,ivy,2,3
1985,1166,mvc,3,8
1986,1166,mvc,3,8
1987,1166,mvc,3,8
1988,1166,mvc,3,8
1989,1166,mvc,3,8
1990,1166,mvc,3,8
1991,1166,mvc,3,8
1992,1166,mvc,3,8
1993,1166,mvc,3,8
1994,1166,mvc,3,8
1995,1166,mvc,3,8
1996,1166,mvc,3,8
1997,1166,mvc,3,8
1998,1166,mvc,3,8
1999,1166,mvc,3,8
2000,1166,mvc,3,8
2001,1166,mvc,3,8
2002,1166,mvc,3,8
2003,1166,mvc,3,8
2004,1166,mvc,3,8
2005,1166,mvc,3,8
2006,1166,mvc,3,8
2007,1166,mvc,3,8
2008,1166,mvc,3,8
2009,1166,mvc,3,8
2010,1166,mvc,3,8
2011,1166,mvc,3,8
2012,1166,mvc,3,8
2013,1166,mvc,3,8
2014,1166,big_east,3,8
2015,1166,big_east,3,8
2016,1166,big_east,3,8
2017,1166,big_east,3,8
2018,1166,big_east,3,8
2019,1166,big_east,3,8
2020,1166,big_east,3,8
1985,1172,southern,3,7
1986,1172,southern,3,7
1987,1172,southern,3,7
1988,1172,southern,3,7
1989,1172,ind,3,7
1990,1172,ind,3,7
1991,1172,big_south,3,7
1992,1172,big_south,3,7
1993,1172,southern,3,7
1994,1172,southern,3,7
1995,1172,southern,3,7
1996,1172,southern,3,7
1997,1172,southern,3,7
1998,1172,southern,3,7
1999,1172,southern,3,7
2000,1172,southern,3,7
2001,1172,southern,3,7
2002,1172,southern,3,7
2003,1172,southern,3,7
2004,1172,southern,3,7
2005,1172,southern,3,7
2006,1172,southern,3,7
2007,1172,southern,3,7
2008,1172,southern,3,7
2009,1172,southern,3,7
2010,1172,southern,3,7
2011,1172,southern,3,7
2012,1172,southern,3,7
2013,1172,southern,3,7
2014,1172,southern,3,7
2015,1172,a_ten,3,7
2016,1172,a_ten,3,7
2017,1172,a_ten,3,7
2018,1172,a_ten,3,7
2019,1172,a_ten,3,7
2020,1172,a_ten,3,7
1985,1173,ind,6,7
1986,1173,ind,6,7
1987,1173,ind,6,7
1988,1173,ind,6,7
1989,1173,mw_coll,6,7
1990,1173,mw_coll,6,7
1991,1173,mw_coll,6,7
1992,1173,mw_coll,6,7
1993,1173,mw_coll,6,7
1994,1173,gmwc,6,7
1995,1173,gmwc,6,7
1996,1173,a_ten,6,7
1997,1173,a_ten,6,7
1998,1173,a_ten,6,7
1999,1173,a_ten,6,7
2000,1173,a_ten,6,7
2001,1173,a_ten,6,7
2002,1173,a_ten,6,7
2003,1173,a_ten,6,7
2004,1173,a_ten,6,7
2005,1173,a_ten,6,7
2006,1173,a_ten,6,7
2007,1173,a_ten,6,7
2008,1173,a_ten,6,7
2009,1173,a_ten,6,7
2010,1173,a_ten,6,7
2011,1173,a_ten,6,7
2012,1173,a_ten,6,7
2013,1173,a_ten,6,7
2014,1173,a_ten,6,7
2015,1173,a_ten,6,7
2016,1173,a_ten,6,7
2017,1173,a_ten,6,7
2018,1173,a_ten,6,7
2019,1173,a_ten,6,7
2020,1173,a_ten,6,7
1985,1177,ind,1,1
1986,1177,ind,1,1
1987,1177,ind,1,1
1988,1177,ind,1,1
1989,1177,ind,1,1
1990,1177,ind,1,1
1991,1177,ind,1,1
1992,1177,gmwc,1,1
1993,1177,gmwc,1,1
1994,1177,gmwc,1,1
1995,1177,gmwc,1,1
1996,1177,cusa,1,1
1997,1177,cusa,1,1
1998,1177,cusa,1,1
1999,1177,cusa,1,1
2000,1177,cusa,1,1
2001,1177,cusa,1,1
2002,1177,cusa,1,1
2003,1177,cusa,1,1
2004,1177,cusa,1,1
2005,1177,cusa,1,1
2006,1177,big_east,1,1
2007,1177,big_east,1,1
2008,1177,big_east,1,1
2009,1177,big_east,1,1
2010,1177,big_east,1,1
2011,1177,big_east,1,1
2012,1177,big_east,1,1
2013,1177,big_east,1,1
2014,1177,big_east,1,1
2015,1177,big_east,1,1
2016,1177,big_east,1,1
2017,1177,big_east,1,1
2018,1177,big_east,1,1
2019,1177,big_east,1,1
2020,1177,big_east,1,1
1985,1181,acc,39,15
1986,1181,acc,39,15
1987,1181,acc,39,15
1988,1181,acc,39,15
1989,1181,acc,39,15
1990,1181,acc,39,15
1991,1181,acc,39,15
1992,1181,acc,39,15
1993,1181,acc,39,15
1994,1181,acc,39,15
1995,1181,acc,39,15
1996,1181,acc,39,15
1997,1181,acc,39,15
1998,1181,acc,39,15
1999,1181,acc,39,15
2000,1181,acc,39,15
2001,1181,acc,39,15
2002,1181,acc,39,15
2003,1181,acc,39,15
2004,1181,acc,39,15
2005,1181,acc,39,15
2006,1181,acc,39,15
2007,1181,acc,39,15
2008,1181,acc,39,15
2009,1181,acc,39,15
2010,1181,acc,39,15
2011,1181,acc,39,15
2012,1181,acc,39,15
2013,1181,acc,39,15
2014,1181,acc,39,15
2015,1181,acc,39,15
2016,1181,acc,39,15
2017,1181,acc,39,15
2018,1181,acc,39,15
2019,1181,acc,39,15
2020,1181,acc,39,15
1985,1192,ecacm,1,3
1986,1192,ecacm,1,3
1987,1192,ecacm,1,3
1988,1192,ecacm,1,3
1989,1192,nec,1,3
1990,1192,nec,1,3
1991,1192,nec,1,3
1992,1192,nec,1,3
1993,1192,nec,1,3
1994,1192,nec,1,3
1995,1192,nec,1,3
1996,1192,nec,1,3
1997,1192,nec,1,3
1998,1192,nec,1,3
1999,1192,nec,1,3
2000,1192,nec,1,3
2001,1192,nec,1,3
2002,1192,nec,1,3
2003,1192,nec,1,3
2004,1192,nec,1,3
2005,1192,nec,1,3
2006,1192,nec,1,3
2007,1192,nec,1,3
2008,1192,nec,1,3
2009,1192,nec,1,3
2010,1192,nec,1,3
2011,1192,nec,1,3
2012,1192,nec,1,3
2013,1192,nec,1,3
2014,1192,nec,1,3
2015,1192,nec,1,3
2016,1192,nec,1,3
2017,1192,nec,1,3
2018,1192,nec,1,3
2019,1192,nec,1,3
2020,1192,nec,1,3
1985,1196,sec,32,11
1986,1196,sec,32,11
1987,1196,sec,32,11
1988,1196,sec,32,11
1989,1196,sec,32,11
1990,1196,sec,32,11
1991,1196,sec,32,11
1992,1196,sec,32,11
1993,1196,sec,32,11
1994,1196,sec,32,11
